
Еженедельные средние потребительские цены (тарифы) на отдельные товары и услуги, рубль, Российская Федерация, Яблоки, кг
;2011;2012;2013;2014;2015;2016;2017;2018;2019;
17 неделя (на 29 апреля);;;65,44;;;;;;;
18 неделя (на 6 мая);;;65,88;;;;;;;
19 неделя (на 13 мая);;;66,24;;;;;;;
20 неделя (на 20 мая);;;66,7;;;;;;;
21 неделя (на 27 мая);;;67,31;;;;;;;
22 неделя (на 3 июня);;;67,9;;;;;;;
23 неделя (на 10 июня);;;68,21;;;;;;;
24 неделя (на 17 июня);;;68,61;;;;;;;
25 неделя (на 24 июня);;;69,16;;;;;;;
26 неделя (на 1 июля);;;69,35;;;;;;;
27 неделя (на 8 июля);;;69,59;;;;;;;
28 неделя (на 15 июля);;;69,88;;;;;;;
29 неделя (на 22 июля);;;69,94;;;;;;;
30 неделя (на 29 июля);;;70,01;;;;;;;
31 неделя (на 5 августа);;;69,83;;;;;;;
32 неделя (на 12 августа);;;69,39;;;;;;;
33 неделя (на 19 августа);;;68,81;;;;;;;
34 неделя (на 26 августа);;;68,13;;;;;;;
35 неделя (на 2 сентября);;;67,45;;;;;;;
36 неделя (на 9 сентября);;;66,75;;;;;;;
37 неделя (на 16 сентября);;;65,89;;;;;;;
38 неделя (на 23 сентября);;;65,37;;;;;;;
39 неделя (на 30 сентября);;;64,79;;;;;;;
40 недедя (на 7 октября );;;64,1;;;;;;;
41 неделя (на 14 октября );;;63,51;;;;;;;
42 неделя (на 21 октября );;;63,14;;;;;;;
43 неделя (на 28 октября );;;62,88;;;;;;;
44 неделя (на 5 ноября);;;62,71;;;;;;;
45 неделя (на 11 ноября);;;62,53;;;;;;;
46 неделя (на 18 ноября);;;62,71;;;;;;;
47 неделя (на 25 ноября);;;62,45;;;;;;;
48 неделя (на 2 декабря);;;62,44;;;;;;;
49 неделя (на 9 декабря);;;62,57;;;;;;;
50 неделя (на 16 декабря);;;62,78;;;;;;;
51 неделя (на 23 декабря);;;63,15;;;;;;;
52 неделя  (на 30 декабря);;;63,61;;;;;;;
1 неделя (на 13 января);;;;64,1;;;;;;
2 неделя (на 20 января);;;;64,48;;;;;;
3 неделя (на 27 января);;;;64,79;;;;;;
